date,n225_930,n225_close,dir930,chg930_pct,day_dir,day_chg_pct
2026-04-20,58865.7,58899.49,高,0.057,高,0.724
2026-04-21,59275.64,59345.8,高,0.118,高,0.886
2026-04-22,59337.35,59569.31,高,0.391,高,0.371
2026-04-23,59894.22,59174.88,低,-1.201,低,-0.69
2026-04-24,59612.57,59730.25,高,0.197,高,0.998
2026-04-27,59691.21,60560.93,高,1.457,高,1.415
2026-04-28,60145.93,59832.58,低,-0.521,低,-1.164
2026-04-30,59312.35,59111.55,低,-0.339,低,-1.345
2026-05-01,59510.11,59509.56,低,-0.001,高,0.379
2026-05-07,61900.21,62917.61,高,1.644,高,5.721
2026-05-08,62501.03,62615.33,高,0.183,低,-0.348
2026-05-11,63271.25,62437.77,低,-1.317,低,-0.44
2026-05-12,62913.48,62716.75,低,-0.313,高,0.479
2026-05-13,62496.37,63232.18,高,1.177,高,0.78
2026-05-14,63543.97,62737.53,低,-1.269,低,-0.845
2026-05-15,62981.92,61242.7,低,-2.761,低,-2.253
2026-05-18,61135.88,60819.57,低,-0.517,低,-0.96
2026-05-19,61254.56,60513.07,低,-1.211,低,-0.498
2026-05-20,59623.6,59874.8,高,0.421,低,-1.116
2026-05-21,61519.64,61701.07,高,0.295,高,3.171
2026-05-22,62777.13,63324.21,高,0.871,高,2.659
2026-05-25,64877.22,65184.23,高,0.473,高,2.913
2026-05-26,64946.95,65053.08,高,0.163,低,-0.161
2026-05-27,65940.18,65095.56,低,-1.281,高,0.153
2026-05-28,64585.33,64711.12,高,0.195,低,-0.444
2026-05-29,65907.55,66362.67,高,0.691,高,2.581
2026-06-01,66550.94,67010.93,高,0.691,高,1.027
2026-06-02,66460.33,66672.65,高,0.319,低,-0.391
2026-06-03,67807.23,68465.56,高,0.971,高,2.594
2026-06-04,67400.53,67339.92,低,-0.09,低,-1.553
2026-06-05,66621.37,66611.74,低,-0.014,低,-1.273
2026-06-08,64262.65,63825.54,低,-0.68,低,-4.149
2026-06-09,64559.39,65387.14,高,1.282,高,2.128
2026-06-10,65022.86,64174.34,低,-1.305,低,-1.899
2026-06-11,62935.83,64240.15,高,2.072,高,0.095
2026-06-12,66735.37,66042.06,低,-1.039,高,2.842
2026-06-15,68998.56,69351.62,高,0.512,高,5.046
2026-06-16,69411.15,69360.68,低,-0.073,高,0.062
2026-06-17,69391.19,70002.35,高,0.881,高,0.861
2026-06-18,71194.98,71142.21,低,-0.074,高,1.774
2026-06-19,71497.47,70954.31,低,-0.76,低,-0.14
2026-06-22,71822.81,72431.56,高,0.848,高,1.658
2026-06-23,71800.63,69935.53,低,-2.598,低,-3.342
2026-06-24,69967.58,69274.62,低,-0.99,低,-0.736
2026-06-25,70819.29,72527.52,高,2.412,高,4.846
2026-06-26,70420.47,69105.8,低,-1.867,低,-4.506
2026-06-29,68569.45,69382.07,高,1.185,高,0.031
2026-06-30,69777.96,70181.82,高,0.579,高,1.027
2026-07-01,71699.15,70426.72,低,-1.775,高,0.52
2026-07-02,69314.77,68749.18,低,-0.816,低,-2.449
2026-07-03,67804.81,69773.99,高,2.904,高,1.514
2026-07-06,69383.86,69655.33,高,0.391,低,-0.127
2026-07-07,69777.84,68409.93,低,-1.96,低,-1.904
2026-07-08,67868.72,67171.68,低,-1.027,低,-1.59
2026-07-09,68050.59,67830.79,低,-0.323,高,1.514
2026-07-10,68636.67,68469.36,低,-0.244,高,1.071
2026-07-13,68890.08,67132.87,低,-2.551,低,-2.078
2026-07-14,66716.0,67746.82,高,1.545,高,0.75
2026-07-15,68647.03,68655.39,高,0.012,高,1.346
2026-07-16,66921.5,66909.91,低,-0.017,低,-2.679
2026-07-17,64519.4,64113.21,低,-0.63,低,-4.073
2026-07-21,64986.59,66067.91,高,1.664,高,3.004
