date,code,name,vwap930,close,result,dev930_pct
2026-04-21,1605,INPEX,3802.51,3826.0,高,0.62
2026-04-21,1801,大成建設,15912.85,15875.0,低,-0.24
2026-04-21,1802,大林組,3713.31,3667.0,低,-1.25
2026-04-21,1803,清水建設,2792.81,2775.5,低,-0.62
2026-04-21,1812,鹿島建設,6085.78,6042.0,低,-0.72
2026-04-21,1925,大和ハウス,4902.78,4901.0,低,-0.04
2026-04-21,1928,積水ハウス,3504.57,3479.0,低,-0.73
2026-04-21,2269,明治HD,3744.61,3734.0,低,-0.28
2026-04-21,2413,エムスリー,1563.32,1527.0,低,-2.32
2026-04-21,2502,アサヒGHD,1636.71,1627.0,低,-0.59
2026-04-21,2503,キリンHD,2574.37,2580.0,高,0.22
2026-04-21,2768,双日,6063.13,6081.0,高,0.29
2026-04-21,2801,キッコーマン,1493.04,1476.5,低,-1.11
2026-04-21,2802,味の素,4666.79,4721.0,高,1.16
2026-04-21,285A,キオクシアHD,31498.59,32810.0,高,4.16
2026-04-21,2914,JT,5782.55,5758.0,低,-0.42
2026-04-21,3038,神戸物産,3002.24,2914.5,低,-2.92
2026-04-21,3092,ZOZO,1068.35,1073.5,高,0.48
2026-04-21,3099,三越伊勢丹HD,3120.07,3089.0,低,-1.0
2026-04-21,3289,東急不動産HD,1378.35,1381.0,高,0.19
2026-04-21,3382,セブン&アイHD,2007.42,2012.5,高,0.25
2026-04-21,3407,旭化成,1564.31,1560.0,低,-0.28
2026-04-21,3436,SUMCO,2166.04,2227.0,高,2.81
2026-04-21,3778,さくらインターネット,3765.12,3800.0,高,0.93
2026-04-21,4005,住友化学,520.99,518.5,低,-0.48
2026-04-21,4063,信越化学,6830.02,6844.0,高,0.2
2026-04-21,4183,三井化学,1995.78,1996.5,高,0.04
2026-04-21,4188,三菱ケミカルG,970.17,974.2999877929688,高,0.43
2026-04-21,4307,野村総研,5054.68,5003.0,低,-1.02
2026-04-21,4385,メルカリ,4036.01,4089.0,高,1.31
2026-04-21,4452,花王,3002.52,3004.0,高,0.05
2026-04-21,4502,武田薬品,5493.11,5506.0,高,0.23
2026-04-21,4503,アステラス製薬,2530.13,2541.0,高,0.43
2026-04-21,4507,塩野義製薬,3144.34,3139.0,低,-0.17
2026-04-21,4519,中外製薬,8556.73,8566.0,高,0.11
2026-04-21,4523,エーザイ,4856.99,4825.0,低,-0.66
2026-04-21,4543,テルモ,2177.71,2154.5,低,-1.07
2026-04-21,4568,第一三共,2933.42,2930.0,低,-0.12
2026-04-21,4578,大塚HD,10498.67,10535.0,高,0.35
2026-04-21,4689,LINEヤフー,432.26,431.70001220703125,低,-0.13
2026-04-21,4751,サイバーエージェント,1334.72,1319.5,低,-1.14
2026-04-21,4755,楽天G,813.36,805.2000122070312,低,-1.0
2026-04-21,4901,富士フイルム,3145.6,3120.0,低,-0.81
2026-04-21,4911,資生堂,3167.42,3177.0,高,0.3
2026-04-21,5019,出光興産,1421.04,1421.0,低,-0.0
2026-04-21,5020,ENEOS,1333.15,1339.0,高,0.44
2026-04-21,5108,ブリヂストン,3414.25,3426.0,高,0.34
2026-04-21,5201,AGC,5765.28,5802.0,高,0.64
2026-04-21,5253,カバー,1450.41,1450.0,低,-0.03
2026-04-21,5401,日本製鉄,595.7,594.5,低,-0.2
2026-04-21,5406,神戸製鋼所,1922.07,1919.5,低,-0.13
2026-04-21,5411,JFEHD,1757.65,1756.5,低,-0.07
2026-04-21,5711,三菱マテリアル,5527.47,5567.0,高,0.72
2026-04-21,5713,住友金属鉱山,10120.58,10195.0,高,0.74
2026-04-21,5801,古河電工,4441.39,4493.0,高,1.16
2026-04-21,5802,住友電工,2609.25,2605.0,低,-0.16
2026-04-21,5803,フジクラ,5729.21,5784.0,高,0.96
2026-04-21,6098,リクルートHD,7618.84,7815.0,高,2.57
2026-04-21,6103,オークマ,4303.9,4325.0,高,0.49
2026-04-21,6113,アマダ,2485.44,2486.5,高,0.04
2026-04-21,6146,ディスコ,73885.51,73590.0,低,-0.4
2026-04-21,6254,野村マイクロ,3851.56,3840.0,低,-0.3
2026-04-21,6273,SMC,71767.53,72010.0,高,0.34
2026-04-21,6301,コマツ,6932.89,6985.0,高,0.75
2026-04-21,6326,クボタ,2619.1,2632.0,高,0.49
2026-04-21,6361,荏原製作所,5158.95,5164.0,高,0.1
2026-04-21,6367,ダイキン,21994.69,22050.0,高,0.25
2026-04-21,6501,日立製作所,5130.23,5179.0,高,0.95
2026-04-21,6503,三菱電機,6099.06,6126.0,高,0.44
2026-04-21,6506,安川電機,5514.66,5593.0,高,1.42
2026-04-21,6525,KOKUSAI ELECTRIC,6892.37,6941.0,高,0.71
2026-04-21,6526,ソシオネクスト,1888.03,1855.0,低,-1.75
2026-04-21,6594,ニデック,2429.42,2406.0,低,-0.96
2026-04-21,6701,NEC,4431.1,4466.0,高,0.79
2026-04-21,6702,富士通,3817.15,3835.0,高,0.47
